"Breast Cancer"
"Stage Distribution of SEER Incidence Cases, 2007-2016"

Sex,Race/Ethnicity,Age,"Stage at Diagnosis","Percent of diagnoses"
Male,"Asian / Pacific Islander (includes Hispanic)","Ages 75+",Distant,6.6667
Male,"Asian / Pacific Islander (includes Hispanic)","Ages 75+",Unstaged,6.6667
Male,"Asian / Pacific Islander (includes Hispanic)","Ages < 20",Localized,-
Male,"Asian / Pacific Islander (includes Hispanic)","Ages < 20",Regional,-
Male,"Asian / Pacific Islander (includes Hispanic)","Ages < 20",Distant,-
Male,"Asian / Pacific Islander (includes Hispanic)","Ages < 20",Unstaged,-
Male,"Black (includes Hispanic)","All Ages",Localized,42.6765
Male,"Black (includes Hispanic)","All Ages",Regional,41.0959
Male,"Black (includes Hispanic)","All Ages",Distant,12.2234
Male,"Black (includes Hispanic)","All Ages",Unstaged,4.0042
Male,"Black (includes Hispanic)","Ages < 50",Localized,41.4063
Male,"Black (includes Hispanic)","Ages < 50",Regional,39.0625
Male,"Black (includes Hispanic)","Ages < 50",Distant,14.8438
Male,"Black (includes Hispanic)","Ages < 50",Unstaged,4.6875
Male,"Black (includes Hispanic)","Ages 50-64",Localized,43.4540
Male,"Black (includes Hispanic)","Ages 50-64",Regional,41.2256
Male,"Black (includes Hispanic)","Ages 50-64",Distant,11.9777
Male,"Black (includes Hispanic)","Ages 50-64",Unstaged,3.3426
Male,"Black (includes Hispanic)","Ages 65+",Localized,42.4242
Male,"Black (includes Hispanic)","Ages 65+",Regional,41.5584
Male,"Black (includes Hispanic)","Ages 65+",Distant,11.6883
Male,"Black (includes Hispanic)","Ages 65+",Unstaged,4.3290
Male,"Black (includes Hispanic)","Ages <15",Localized,-
Male,"Black (includes Hispanic)","Ages <15",Regional,-
Male,"Black (includes Hispanic)","Ages <15",Distant,-
Male,"Black (includes Hispanic)","Ages <15",Unstaged,-
Male,"Black (includes Hispanic)","Ages 15-39",Localized,41.6667
Male,"Black (includes Hispanic)","Ages 15-39",Regional,20.8333
Male,"Black (includes Hispanic)","Ages 15-39",Distant,37.5000
Male,"Black (includes Hispanic)","Ages 15-39",Unstaged,0.0000
Male,"Black (includes Hispanic)","Ages 40-64",Localized,42.9806
Male,"Black (includes Hispanic)","Ages 40-64",Regional,41.6847
Male,"Black (includes Hispanic)","Ages 40-64",Distant,11.4471
Male,"Black (includes Hispanic)","Ages 40-64",Unstaged,3.8877
Male,"Black (includes Hispanic)","Ages 65-74",Localized,44.0741
Male,"Black (includes Hispanic)","Ages 65-74",Regional,39.6296
Male,"Black (includes Hispanic)","Ages 65-74",Distant,13.3333
Male,"Black (includes Hispanic)","Ages 65-74",Unstaged,2.9630
Male,"Black (includes Hispanic)","Ages 75+",Localized,40.1042
Male,"Black (includes Hispanic)","Ages 75+",Regional,44.2708
Male,"Black (includes Hispanic)","Ages 75+",Distant,9.3750
Male,"Black (includes Hispanic)","Ages 75+",Unstaged,6.2500
Male,"Black (includes Hispanic)","Ages < 20",Localized,-
Male,"Black (includes Hispanic)","Ages < 20",Regional,-
Male,"Black (includes Hispanic)","Ages < 20",Distant,-
Male,"Black (includes Hispanic)","Ages < 20",Unstaged,-
Male,"Hispanic (any race)","All Ages",Localized,45.3564
Male,"Hispanic (any race)","All Ages",Regional,41.6847
Male,"Hispanic (any race)","All Ages",Distant,7.5594
Male,"Hispanic (any race)","All Ages",Unstaged,5.3996
Male,"Hispanic (any race)","Ages < 50",Localized,39.0244
Male,"Hispanic (any race)","Ages < 50",Regional,41.4634
Male,"Hispanic (any race)","Ages < 50",Distant,8.5366
Male,"Hispanic (any race)","Ages < 50",Unstaged,10.9756
Male,"Hispanic (any race)","Ages 50-64",Localized,44.8718
Male,"Hispanic (any race)","Ages 50-64",Regional,39.7436
Male,"Hispanic (any race)","Ages 50-64",Distant,10.8974
Male,"Hispanic (any race)","Ages 50-64",Unstaged,4.4872
Male,"Hispanic (any race)","Ages 65+",Localized,48.0000
Male,"Hispanic (any race)","Ages 65+",Regional,43.1111
Male,"Hispanic (any race)","Ages 65+",Distant,4.8889
Male,"Hispanic (any race)","Ages 65+",Unstaged,4.0000
Male,"Hispanic (any race)","Ages <15",Localized,-
Male,"Hispanic (any race)","Ages <15",Regional,-
Male,"Hispanic (any race)","Ages <15",Distant,-
Male,"Hispanic (any race)","Ages <15",Unstaged,-
Male,"Hispanic (any race)","Ages 15-39",Localized,33.3333
Male,"Hispanic (any race)","Ages 15-39",Regional,47.6190
Male,"Hispanic (any race)","Ages 15-39",Distant,14.2857
Male,"Hispanic (any race)","Ages 15-39",Unstaged,4.7619
Male,"Hispanic (any race)","Ages 40-64",Localized,43.7788
Male,"Hispanic (any race)","Ages 40-64",Regional,39.6313
Male,"Hispanic (any race)","Ages 40-64",Distant,9.6774
Male,"Hispanic (any race)","Ages 40-64",Unstaged,6.9124
Male,"Hispanic (any race)","Ages 65-74",Localized,47.1154
Male,"Hispanic (any race)","Ages 65-74",Regional,44.2308
Male,"Hispanic (any race)","Ages 65-74",Distant,5.7692
Male,"Hispanic (any race)","Ages 65-74",Unstaged,2.8846
Male,"Hispanic (any race)","Ages 75+",Localized,48.7603
Male,"Hispanic (any race)","Ages 75+",Regional,42.1488
Male,"Hispanic (any race)","Ages 75+",Distant,4.1322
Male,"Hispanic (any race)","Ages 75+",Unstaged,4.9587
Male,"Hispanic (any race)","Ages < 20",Localized,-
Male,"Hispanic (any race)","Ages < 20",Regional,-
Male,"Hispanic (any race)","Ages < 20",Distant,-
Male,"Hispanic (any race)","Ages < 20",Unstaged,-
Male,"Non-Hispanic White","All Ages",Localized,46.0555
Male,"Non-Hispanic White","All Ages",Regional,43.5570
Male,"Non-Hispanic White","All Ages",Distant,7.4956
Male,"Non-Hispanic White","All Ages",Unstaged,2.8920
Male,"Non-Hispanic White","Ages < 50",Localized,46.8153
Male,"Non-Hispanic White","Ages < 50",Regional,41.7197
Male,"Non-Hispanic White","Ages < 50",Distant,10.8280
Male,"Non-Hispanic White","Ages < 50",Unstaged,0.6369
Male,"Non-Hispanic White","Ages 50-64",Localized,42.2000
Male,"Non-Hispanic White","Ages 50-64",Regional,46.9333
Male,"Non-Hispanic White","Ages 50-64",Distant,8.4000
Male,"Non-Hispanic White","Ages 50-64",Unstaged,2.4667
Male,"Non-Hispanic White","Ages 65+",Localized,47.7516
Male,"Non-Hispanic White","Ages 65+",Regional,42.1842
Male,"Non-Hispanic White","Ages 65+",Distant,6.7605
Male,"Non-Hispanic White","Ages 65+",Unstaged,3.3038
Male,"Non-Hispanic White","Ages <15",Localized,-
Male,"Non-Hispanic White","Ages <15",Regional,-
Male,"Non-Hispanic White","Ages <15",Distant,-
Male,"Non-Hispanic White","Ages <15",Unstaged,-
Male,"Non-Hispanic White","Ages 15-39",Localized,44.6429
Male,"Non-Hispanic White","Ages 15-39",Regional,46.4286
Male,"Non-Hispanic White","Ages 15-39",Distant,7.1429
Male,"Non-Hispanic White","Ages 15-39",Unstaged,1.7857
Male,"Non-Hispanic White","Ages 40-64",Localized,42.9141
Male,"Non-Hispanic White","Ages 40-64",Regional,46.0444
Male,"Non-Hispanic White","Ages 40-64",Distant,8.8788
Male,"Non-Hispanic White","Ages 40-64",Unstaged,2.1628
Male,"Non-Hispanic White","Ages 65-74",Localized,48.0386
Male,"Non-Hispanic White","Ages 65-74",Regional,42.6367
Male,"Non-Hispanic White","Ages 65-74",Distant,7.1383
Male,"Non-Hispanic White","Ages 65-74",Unstaged,2.1865
Male,"Non-Hispanic White","Ages 75+",Localized,47.4912
Male,"Non-Hispanic White","Ages 75+",Regional,41.7736
Male,"Non-Hispanic White","Ages 75+",Distant,6.4177
Male,"Non-Hispanic White","Ages 75+",Unstaged,4.3174
Male,"Non-Hispanic White","Ages < 20",Localized,-
Male,"Non-Hispanic White","Ages < 20",Regional,-
Male,"Non-Hispanic White","Ages < 20",Distant,-
Male,"Non-Hispanic White","Ages < 20",Unstaged,-
Male,"White (includes Hispanic)","All Ages",Localized,45.9927
Male,"White (includes Hispanic)","All Ages",Regional,43.4608
Male,"White (includes Hispanic)","All Ages",Distant,7.5228
Male,"White (includes Hispanic)","All Ages",Unstaged,3.0237
Male,"White (includes Hispanic)","Ages < 50",Localized,45.5729
Male,"White (includes Hispanic)","Ages < 50",Regional,41.9271
Male,"White (includes Hispanic)","Ages < 50",Distant,10.4167
Male,"White (includes Hispanic)","Ages < 50",Unstaged,2.0833
Male,"White (includes Hispanic)","Ages 50-64",Localized,42.5245
Male,"White (includes Hispanic)","Ages 50-64",Regional,46.2623
Male,"White (includes Hispanic)","Ages 50-64",Distant,8.6397
Male,"White (includes Hispanic)","Ages 50-64",Unstaged,2.5735
Male,"White (includes Hispanic)","Ages 65+",Localized,47.6684
Male,"White (includes Hispanic)","Ages 65+",Regional,42.3143
Male,"White (includes Hispanic)","Ages 65+",Distant,6.6782
Male,"White (includes Hispanic)","Ages 65+",Unstaged,3.3391
Male,"White (includes Hispanic)","Ages <15",Localized,-
Male,"White (includes Hispanic)","Ages <15",Regional,-
Male,"White (includes Hispanic)","Ages <15",Distant,-
Male,"White (includes Hispanic)","Ages <15",Unstaged,-
Male,"White (includes Hispanic)","Ages 15-39",Localized,41.8919
Male,"White (includes Hispanic)","Ages 15-39",Regional,47.2973
Male,"White (includes Hispanic)","Ages 15-39",Distant,8.1081
Male,"White (includes Hispanic)","Ages 15-39",Unstaged,2.7027
Male,"White (includes Hispanic)","Ages 40-64",Localized,43.1221
Male,"White (includes Hispanic)","Ages 40-64",Regional,45.3890
Male,"White (includes Hispanic)","Ages 40-64",Distant,9.0160
Male,"White (includes Hispanic)","Ages 40-64",Unstaged,2.4730
Male,"White (includes Hispanic)","Ages 65-74",Localized,47.9344
Male,"White (includes Hispanic)","Ages 65-74",Regional,42.7704
Male,"White (includes Hispanic)","Ages 65-74",Distant,7.1081
Male,"White (includes Hispanic)","Ages 65-74",Unstaged,2.1871
Male,"White (includes Hispanic)","Ages 75+",Localized,47.4289
Male,"White (includes Hispanic)","Ages 75+",Regional,41.9037
Male,"White (includes Hispanic)","Ages 75+",Distant,6.2910
Male,"White (includes Hispanic)","Ages 75+",Unstaged,4.3764
Male,"White (includes Hispanic)","Ages < 20",Localized,-
Male,"White (includes Hispanic)","Ages < 20",Regional,-
Male,"White (includes Hispanic)","Ages < 20",Distant,-
Male,"White (includes Hispanic)","Ages < 20",Unstaged,-

"Data Source:"
"SEER 21 areas [http://seer.cancer.gov/registries/terms.html] (San Francisco, Connecticut, Detroit, Hawaii, Iowa, New Mexico, Seattle, Utah, Atlanta, San Jose-Monterey, Los Angeles, Alaska Native Registry, Rural Georgia, California excluding SF/SJM/LA, Kentucky, Louisiana, New Jersey, Georgia excluding ATL/RG, Idaho, New York and Massachusetts)."
Methodology:
"Estimates reflect the proportion of cases in each SEER Summary Stage [https://seer.cancer.gov/tools/ssm/] group for the selected series."
"Race/Ethnicity Coding:"
"Rates for American Indians/Alaska Natives only include cases that are in a Purchased/Referred Care Delivery Area (PRCDA). See  SEER Race Recode Documentation for American Indian/Alaskan Native Statistics [http://seer.cancer.gov/seerstat/variables/seer/race_ethnicity/#ai-an]."
"Hispanics and Non-Hispanics are not mutually exclusive from whites, blacks, Asian/Pacific Islanders, and American Indians/Alaska Natives. Incidence data for Hispanics and Non-Hispanics are based on the NAACCR Hispanic Latino Identification Algorithm (NHIA) and exclude cases from the Alaska Native Registry. See SEER Race Recode Documentation for Spanish-Hispanic-Latino Ethnicity [http://seer.cancer.gov/seerstat/variables/seer/race_ethnicity/#hispanic]."
"Cancer Site Coding:"
"See <a href=""https://seer.cancer.gov/explorer/cancer-sites.html"">SEER*Explorer Cancer Site Definitions</a> for details about the coding used for SEER Incidence data."
Timestamp:
"Created by seer.cancer.gov/explorer/application.php on 07/14/2019 6:30 am."
